"key","english","farsi"
"RFQ_tabs_Providers","Providers","تأمين‌کننده‌ها"
"RFQ_tabs_negotiations","Negotiations","مذاکره‌ها"
"RFQ_tabs_Retailers","Retailers","خرده‌فروشي‌ها"
"RFQ_tabs_suppliers","Suppliers","تأمين‌کننده‌ها"
"product_Silicon","Silicon","سیلیس"
"product_Aluminium","Aluminium","آلومینیوم"
"product_Polymer","Polymer","پلیمر"
"product_Water","Water","آب"
"product_Hop","Hop","رازک"
"product_CerealSprouts","Cereal Sprouts","جوانه غلات"
"product_CherriesConcentrate","Cherries Concentrate","کنسانتره آلبالو"
"product_OrangeConcentrate","Orange Concentrate","کنسانتره پرتقال"
"product_PineappleConcentrate","Pineapple Concentrate","کنسانتره آناناس"
"product_MangoConcentrate","Mango Concentrate","کنسانتره انبه"
"product_CSDFlavoring","CSD Flavoring","اسانس CSD"
"product_MaltFlavoring","Malt Flavoring","اسانس مالت"
"product_FruitFlavoring","Fruit Flavoring","اسانس میوه"
"product_Sugar","Sugar","قند"
"product_Preservative","Preservative","نگهدارنده"
"product_Caffeine","Caffeine","کافئین"
"product_GlassBottle","Glass Bottle","بطری شیشه‌ای"
"product_AluminiumCan","Aluminium Can","قوطی آلومینیومی"
"product_PlasticBottle","Plastic Bottle","بطری پلاستیکی"
"product_SodaSyrup","Soda Syrup","شربت نوشابه"
"product_MaltSyrup","Malt Syrup","شربت مالت"
"product_CherriesPieSyrup","Cherries Nectar","نکتار آلبالو"
"product_OrangePieSyrup","Orange Nectar","نکتار پرتقال"
"product_PineapplePieSyrup","Pineapple Nectar","نکتار آناناس"
"product_MangoPieSyrup","Mango Nectar","نکتار انبه"
"product_EnergySyrup","Energy Syrup","شربت انرژی‌زا"
"product_CarbonDioxide","Carbon Dioxide","گاز کربنیک"
"product_Soda250CC","Soda Glass Bottle","نوشابه شیشه‌ای"
"product_Soda500CC","Soda Aluminium Can","نوشابه قوطی"
"product_Soda1000CC","Soda Plastic Bottle","نوشابه پلاستیکی"
"product_NonAlcoholicBeer250CC","NonAlcoholic Beer Glass Bottle","ماء‌الشعیر شیشه‌ای"
"product_NonAlcoholicBeer500CC","NonAlcoholic Beer Aluminium Can","ماء‌الشعیر قوطی"
"product_NonAlcoholicBeer1000CC","NonAlcoholic Beer Plastic Bottle","ماء‌الشعیر پلاستیکی"
"product_CherriesJuice250CC","Cherries Juice Glass Bottle","آبمیوه شیشه‌ای آلبالو"
"product_OrangeJuice250CC","Orange Juice Glass Bottle","آبمیوه شیشه‌ای پرتقال"
"product_PineappleJuice250CC","Pineapple Juice Glass Bottle","آبمیوه شیشه‌ای آناناس"
"product_MangoJuice250CC","Mango Juice Glass Bottle","آبمیوه شیشه‌ای انبه"
"product_EnergyDrink500CC","Energy Drink","نوشیدنی انرژی‌زا"
"gamein_my_offers_title","My Team Offers","درخواست‌هاي تيم من"
"offer_volume","Volume","تعداد"
"offer_total_price","Total Price","قيمت کل"
"new_offer","New Offer","درخواست جديد"
"offer_accept_button","Accept","قبول"
"offer_cost","Cost/Unit","قيمت/واحد"
"offer_deadline","Deadline","انقضا"
"gamein_other_offers_title","Other Offers","درخواست‌هاي ديگر تيم‌ها"
"customers_new_offer_popup_button","New Demand","درخواست جديد"
"new_offer_volume","Volume","تعداد"
"new_offer_volume_placeholder","Volume...","تعداد..."
"new_offer_total_price","Total Price","قيمت کل"
"new_offer_select_to_see","Set Volume and Price/Unit to see this...","تعداد و قيمت واحد را مشخص کنيد..."
"new_offer_deadline","Offer Deadline","تاريخ انقضاي درخواست"
"offer_place_button","Place demand","ارسال درخواست"
"random_country","Random Country","کشور شانسي"
"random_country_start_button","See your random country","مشاهده کشور شانسي شما"
"random_country_load_map","Go to Map","به نقشه برو"
"auction_current_highest_bid","the highest bid for this factory till now is","بالاترین پیشنهاد برای این کارخانه تاکنون برابر است با"
"auction_title","Auction","مزايده"
"auction_no_bid","no bid till now","بدون پیشنهاد"
"auction_min_raise","Min raise amount is <color=red>#</color>","حداقل ميزان افزايش پيشنهاد برابر است با <color=red>#</color>"
"auction_raise_placeholder","Raise amount...","ميزان افزايش..."
"auction_raise_button","Raise","افزايش"
"auction_already_highest_bid","you already have the highest bid on a factory","شما در حال حاضر بالاترین پیشنهاد را برای یک کارخانه دارید"
"ACTIVE","Active","فعال"
"ACCEPTED","Accepted","قبول‌شده"
"TERMINATED","Terminated","حذف‌شده"
"PASSED_DEADLINE","Expired","منقضی‌شده"
"CLOSED","Closed","پایان‌یافته" 
"DEAL","Deal","توافق" 
"IN_PROGRESS","in Progress","در حال مذاکره" 
"negotiations_title","Negotiations","مذاکرات"
"negtiation_demander","Demander","خريدار"
"negtiation_sepplier","Supplier","فروشنده"
"negotiation_amount","Amount","تعداد"
"supply_negotiations_title","Supply Negotiations","مذاکرات فروش"
"demand_negotiations_title","Demand Negotiations","مذاکرات خرید"
"negotiation_cost_demander","Demander Cost/Unit","قيمت/واحد خريدار"
"negotiation_cost_supplier","Supplier Cost/Unit","قيمت/واحد فروشنده"
"negotiate_show_actions_button","Show Actions","نشان بده"
"negotiation_reject_button","Reject","رد کردن"
"negotiation_change_price_placeholder","Price/Unit","قيمت/واحد"
"change_price_button","Change Price","تغيير قيمت"
"negotiation_chat_button","Chat","چت کنيد"
"new_negotiation_title","Negotiate","مذاکره کنيد"
"negotiate_send_button","Send Offer","ارسال پيشنهاد"
"negotiation_amount_placeholder","Amount...","تعداد..."
